Pos,Baliza1,Baliza2,Baliza3,Baliza4,Baliza5,Baliza6,Baliza7,Baliza8,Baliza9,Baliza10,Baliza11,Baliza12,Baliza13
S02,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
S02,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
T01,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
U02,NA,-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01,NA,NA,-88,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
U02,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03,NA,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03,NA,-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03,NA,-63,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J03,NA,-63,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,NA,-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,-72,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,NA,-82,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
K03,NA,-75,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K03,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-76,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-76,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-77,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-75,-75,NA,-81,NA,NA,NA,NA,NA,NA,NA,NA
L03,NA,-78,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-65,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-66,NA,-80,-75,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-64,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-64,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-70,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA
M03,NA,NA,-74,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-70,NA,-81,-77,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-72,NA,-82,-75,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-75,-82,NA,-74,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-69,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-71,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA
N03,NA,NA,-81,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA
O03,NA,NA,-76,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA
O03,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
O03,NA,NA,-78,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,-82,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,-80,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,-82,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
P03,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,-82,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,-79,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q03,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
R03,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
S03,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
T03,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
U03,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
U04,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
U04,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
U04,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
T04,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,NA,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,NA,-59,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,-81,-62,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,-80,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA
S04,NA,NA,NA,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04,NA,NA,-81,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04,NA,NA,-80,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04,NA,NA,-76,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
R04,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,NA,-75,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,NA,-76,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,-78,NA,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,-78,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q04,NA,NA,-75,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA
Q04,NA,-78,-73,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA
P04,NA,-79,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04,NA,-80,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P04,NA,-79,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,-77,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,-76,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,-79,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O04,NA,-76,-67,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
O04,NA,-80,-62,NA,NA,-82,NA,NA,NA,NA,NA,NA,NA
O04,NA,-76,-63,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA
O04,NA,-72,-57,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA
O04,NA,-76,-64,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA
O04,NA,-76,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N04,NA,-80,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N04,NA,-80,-61,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
N04,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N04,NA,-75,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N04,NA,-74,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-80,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M04,NA,-71,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-71,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-70,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L04,NA,-69,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA
L04,NA,NA,-86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-66,-82,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA
K04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-67,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-65,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K04,NA,-65,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-69,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-75,-82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J04,NA,-74,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I04,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I04,NA,-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I04,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I04,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I04,-75,-198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I05,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J05,NA,-63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J05,NA,-64,NA,NA,NA,NA,NA,-81,NA,NA,NA,NA,NA
J05,NA,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J05,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J05,NA,-66,NA,NA,-82,NA,NA,NA,NA,NA,NA,NA,NA
J05,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K05,NA,-77,NA,-78,NA,-76,NA,NA,NA,NA,NA,NA,NA
K05,NA,-80,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
L05,NA,NA,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA
L05,NA,NA,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA
L05,NA,-76,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
L05,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L05,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05,NA,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA
M05,NA,-80,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA
M05,NA,NA,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
M05,NA,NA,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA
M05,NA,NA,NA,-77,NA,-77,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
N05,NA,NA,NA,-79,-82,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-80,NA,-76,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-79,NA,-77,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-73,NA,-80,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-81,NA,-73,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-78,NA,-74,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
O05,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,-76,NA,-78,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,-80,NA,-80,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA
P05,NA,NA,NA,-79,NA,-75,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-67,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q05,NA,-80,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-70,NA,NA,-81,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-65,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-77,NA,NA,-81,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA,NA,NA,NA
R05,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05,NA,NA,NA,-70,NA,NA,NA,NA,NA,NA,NA,NA,NA
S05,NA,NA,NA,-65,NA,NA,-82,NA,NA,NA,NA,NA,NA
T05,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05,NA,NA,NA,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA
T05,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA,NA,NA
T05,NA,NA,NA,-81,NA,NA,NA,NA,NA,NA,NA,NA,NA
U05,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
U05,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA,NA,NA
U05,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
U05,NA,NA,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,-78,NA,NA,-79,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,NA,NA,NA,-79,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,-82,NA,NA,-78,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,-77,NA,NA,-82,NA,NA,NA,NA,NA,NA
S06,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA,NA
R06,NA,NA,NA,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA
R06,NA,NA,NA,-78,NA,NA,-79,NA,NA,NA,NA,NA,NA
R06,NA,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA
Q06,NA,NA,NA,NA,NA,-75,NA,NA,NA,NA,NA,NA,NA
Q06,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA
P06,NA,NA,NA,-80,NA,-80,NA,NA,NA,NA,NA,NA,NA
P06,NA,NA,NA,NA,NA,-78,NA,NA,NA,NA,NA,NA,NA
P06,NA,NA,NA,-81,NA,-76,NA,NA,NA,NA,NA,NA,NA
P06,NA,NA,NA,NA,NA,-76,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-73,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-68,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-80,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-77,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA
O06,NA,NA,NA,NA,NA,-72,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-67,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-62,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-68,NA,NA,NA,NA,NA,NA,NA
N06,NA,NA,NA,NA,NA,-66,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,-80,-76,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,NA,-68,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,NA,-69,NA,NA,NA,NA,NA,NA,NA
M06,NA,-80,NA,NA,-80,-70,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,-78,-71,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,-81,-71,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,-74,NA,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,-83,NA,NA,NA,NA,NA,NA,NA,NA
M06,NA,NA,NA,NA,NA,-86,NA,NA,NA,NA,NA,NA,NA
